WKT;establecim;sector;dependenci;calle;nro;modalidad;oferta
"POINT (-63.255071 -32.4068849999924)";ESCUELA DALMACIO VELEZ SARSFIELD;Estatal;Provincial;ESTADOS UNIDOS;"775";Común;Común - Primaria de 6 años
"POINT (-63.2556482 -32.4069880899925)";J.DE INF. DR. DALMACIO VELEZ SARSFIELD;Estatal;Provincial;ESTADOS UNIDOS;"775";Común;Común - Jardín de infantes
"POINT (-63.25488845 -32.4134565499925)";J.DE INF. JOSE MARMOL;Estatal;Provincial;COLOMBIA;"308";Común;Común - Jardín de infantes
"POINT (-63.25421927 -32.4130956599925)";ESCUELA JOSE MARMOL;Estatal;Provincial;NACIONES UNIDAS;"385";Común;Común - Primaria de 6 años
"POINT (-63.24805291 -32.3896358099924)";J.DE INF. AGUSTIN ALVAREZ;Estatal;Provincial;AGUSTIN ALVAREZ;;Común;Común - Jardín de infantes
"POINT (-63.25957579 -32.4000959099924)";ESCUELA DOMINGO FAUSTINO SARMIENTO;Estatal;Provincial;JUAREZ CELMAN;"685";Común;Común - Primaria de 6 años
"POINT (-63.27073301 -32.4121178799924)";ESC. JUSTO JOSE DE URQUIZA;Estatal;Provincial;PUERTO MONTT;"1152";Común;Común - Primaria de 6 años
"POINT (-63.27023122 -32.4125099999924)";J.DE INF. JUSTO JOSE DE URQUIZA;Estatal;Provincial;LANIN;;Común;Común - Jardín de infantes
"POINT (-63.25957582 -32.4001136799924)";J.DE INF. PAULA ALBARRACIN;Estatal;Provincial;JUAREZ CELMAN;"685";Común;Común - Jardín de infantes
"POINT (-63.2086763 -32.4298930399925)";ESCUELA DR. ARTURO M. BAS;Estatal;Provincial;ARTURO M. BAS;"210";Común;Común - Primaria de 6 años
"POINT (-63.26000253 -32.4086084499924)";J.DE INF. JUAN CARLOS MULINETTI;Estatal;Provincial;TOMAS EDISON;"275";Común;Común - Jardín de infantes
"POINT (-63.2386 -32.4092999999924)";INSTITUTO DEL ROSARIO PROF. GABRIELA MISTRAL;Privado;Provincial;BV. ALVEAR;"68";Común;Común - SNU
"POINT (-63.241857 -32.4156249999924)";INSTITUTO SECUNDARIO BERNARDINO RIVADAVIA;Privado;Provincial;DOCTOR ANTONIO SOBRAL;"378";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.25900665 -32.4113340499924)";I.P.E.T. Nº 49 DOMINGO FAUSTINO SARMIENTO;Estatal;Provincial;JUAN MULLER;"651";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.245137 -32.4161239999924)";INST. SUP. DR. RAMON J. CARRILLO - ANEXO VILLA MARIA;Estatal;Provincial;MARIANO MORENO;"264";Común;Común - SNU
"POINT (-63.24975376 -32.4123005699925)";I.P.E.M. Nº 147 MANUEL ANSELMO OCAMPO;Estatal;Provincial;CATAMARCA;"650";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.24741002 -32.3980841499924)";ESCUELA DE EDUCACIÓN ESPECIAL CLOTILDE MARÍA SABATTINI (ex-Nº 20);Estatal;Provincial;BVAR. ESPAÑA;"1050";Especial;Educacion Especial
"POINT (-63.22120131 -32.4181208799924)";ESCUELA BERNARDINO RIVADAVIA;Estatal;Provincial;RAMOS MEJIA Y VIAMONTE;"2000";Común;Común - Primaria de 6 años
"POINT (-63.23203806 -32.4191298499925)";ESCUELA GRAL. JOSE DE SAN MARTIN;Estatal;Provincial;CARLOS PELLEGRINI;"1050";Común;Común - Primaria de 6 años
"POINT (-63.23606071 -32.3996925499924)";J.DE INF. FLORENTINO AMEGHINO;Estatal;Provincial;INTENDENTE PEÑA;"450";Común;Común - Jardín de infantes
"POINT (-63.23682162 -32.4129802999924)";J.DE INF. GABRIELA MISTRAL;Estatal;Provincial;TUCUMAN;"1408";Común;Común - Jardín de infantes
"POINT (-63.248122 -32.3977209999924)";INESCER DR. ANGEL DIEGO MARQUEZ;Estatal;Provincial;ESTADOS UNIDOS;"111";Común;Común - SNU
"POINT (-63.2421 -32.4159999999924)";ESCUELA NORMAL SUPERIOR VICTOR MERCANTE;Privado;Provincial;ANTONIO SOBRAL;"378";Común;Común - SNU
